file	beg	end	text
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	0.31	0.47	nowadays
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	0.47	0.63	i'm
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	0.63	0.86	more
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	0.86	0.97	or
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	0.97	1.2	less
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	1.2	1.7	content
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	1.7	1.72	to
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	1.72	1.94	let
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	1.94	1.96	a
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	1.96	2.11	lot
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	2.11	2.22	of
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	2.22	2.67	things
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	2.67	2.8	take
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	2.8	3.14	their
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	3.14	3.26	own
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	3.26	3.8	courses
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	3.8	4.1	like
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	4.1	4.51	amiable
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	4.51	4.94	rivers
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	4.94	5.37	making
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	5.37	5.63	blue
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	5.63	5.97	lines
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	5.97	6.33	down
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	6.33	6.46	the
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	6.46	6.67	map
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	6.67	6.85	of
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	6.85	7.32	history
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	7.32	7.51	i'm
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	7.51	8.09	not
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	8.09	8.11	saying
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	8.11	8.4	that
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	8.4	8.65	some
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	8.65	9.08	things
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	9.08	9.38	don't
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	9.38	9.98	infuriate
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	9.98	10.16	me
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	10.16	10.44	they
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	10.44	10.95	certainly
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	10.95	11.07	do
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	11.07	11.25	but
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	11.25	11.49	i've
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	11.49	11.91	learned
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	11.91	12.3	mostly
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	12.3	12.71	through
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	12.71	13.05	stupid
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	13.05	13.65	repetition
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	13.65	13.91	the
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	13.91	14.08	same
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	14.08	14.63	patience
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	14.63	14.85	i
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	14.85	15.23	apply
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	15.23	15.44	to
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	15.44	15.6	my
