file	beg	end	text
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	0.0	0.84	There
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	0.84	0.87	is
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	0.87	1.08	no
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	1.08	1.93	arguing
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	1.93	2.44	with
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	2.44	2.9	vain
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	2.9	3.64	terror
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	3.64	4.0	and
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	4.0	5.22	negligence.
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	5.22	5.35	I
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	5.35	5.65	am
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	5.65	6.4	very
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	6.4	7.61	unwilling
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	7.61	8.0	and
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	8.0	8.51	not
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	8.51	9.5	obliged
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	9.5	9.87	to
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	9.87	10.09	write
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	10.09	10.31	my
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	10.31	10.85	history
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	10.85	11.02	of
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	11.02	11.9	melancholy,
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	11.9	12.34	but
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	12.34	12.51	to
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	12.51	12.88	let
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	12.88	13.62	Madame
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	13.62	13.86	do
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	13.86	14.6	what
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	14.6	15.21	unhappy
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	15.21	15.86	fancy
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	15.86	16.41	that
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	16.41	17.2	confinement
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	17.2	17.59	and
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	17.59	18.12	fetters,
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	18.12	18.85	too
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	18.85	19.03	ugly
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	19.03	19.29	to
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	19.29	19.86	kiss
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	19.86	20.56	Dr.
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	20.56	21.66	Shonson,
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	21.66	22.13	would
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	22.13	22.42	not
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	22.42	23.18	trouble
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	23.18	23.37	too
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	23.37	23.75	much
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	23.75	24.16	with
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	24.16	24.41	the
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	24.41	24.89	lives
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	24.89	25.08	of
