file	beg	end	text
PhillyTalks3_Complete-Recording_01-21-98_UPenn	0.0	0.2	So
PhillyTalks3_Complete-Recording_01-21-98_UPenn	0.2	0.39	to
PhillyTalks3_Complete-Recording_01-21-98_UPenn	0.39	0.74	me
PhillyTalks3_Complete-Recording_01-21-98_UPenn	0.74	0.8	it
PhillyTalks3_Complete-Recording_01-21-98_UPenn	0.8	1.11	was
PhillyTalks3_Complete-Recording_01-21-98_UPenn	1.11	2.35	particularly
PhillyTalks3_Complete-Recording_01-21-98_UPenn	2.35	3.1	telling
PhillyTalks3_Complete-Recording_01-21-98_UPenn	3.1	3.31	and
PhillyTalks3_Complete-Recording_01-21-98_UPenn	3.31	3.52	why
PhillyTalks3_Complete-Recording_01-21-98_UPenn	3.52	3.68	I
PhillyTalks3_Complete-Recording_01-21-98_UPenn	3.68	3.87	find
PhillyTalks3_Complete-Recording_01-21-98_UPenn	3.87	4.02	it
PhillyTalks3_Complete-Recording_01-21-98_UPenn	4.02	4.07	a
PhillyTalks3_Complete-Recording_01-21-98_UPenn	4.07	4.62	compelling
PhillyTalks3_Complete-Recording_01-21-98_UPenn	4.62	5.08	argument
PhillyTalks3_Complete-Recording_01-21-98_UPenn	5.08	5.82	because
PhillyTalks3_Complete-Recording_01-21-98_UPenn	5.82	6.03	it
PhillyTalks3_Complete-Recording_01-21-98_UPenn	6.03	6.45	does
PhillyTalks3_Complete-Recording_01-21-98_UPenn	6.45	7.4	challenge
PhillyTalks3_Complete-Recording_01-21-98_UPenn	7.4	7.63	in
PhillyTalks3_Complete-Recording_01-21-98_UPenn	7.63	8.03	some
PhillyTalks3_Complete-Recording_01-21-98_UPenn	8.03	8.48	ways
PhillyTalks3_Complete-Recording_01-21-98_UPenn	8.48	8.64	and
PhillyTalks3_Complete-Recording_01-21-98_UPenn	8.64	9.08	initiate
PhillyTalks3_Complete-Recording_01-21-98_UPenn	9.08	9.13	a
PhillyTalks3_Complete-Recording_01-21-98_UPenn	9.13	9.29	bit
PhillyTalks3_Complete-Recording_01-21-98_UPenn	9.29	9.4	of
PhillyTalks3_Complete-Recording_01-21-98_UPenn	9.4	9.45	a
PhillyTalks3_Complete-Recording_01-21-98_UPenn	9.45	9.88	rupture
PhillyTalks3_Complete-Recording_01-21-98_UPenn	9.88	10.31	with
PhillyTalks3_Complete-Recording_01-21-98_UPenn	10.31	10.46	a
PhillyTalks3_Complete-Recording_01-21-98_UPenn	10.46	11.36	poetics
PhillyTalks3_Complete-Recording_01-21-98_UPenn	11.36	11.5	of
PhillyTalks3_Complete-Recording_01-21-98_UPenn	11.5	12.2	desire
PhillyTalks3_Complete-Recording_01-21-98_UPenn	12.2	12.55	and
PhillyTalks3_Complete-Recording_01-21-98_UPenn	12.55	12.66	a
PhillyTalks3_Complete-Recording_01-21-98_UPenn	12.66	13.71	libidinal
PhillyTalks3_Complete-Recording_01-21-98_UPenn	13.71	14.6	economy.
PhillyTalks3_Complete-Recording_01-21-98_UPenn	14.6	15.19	But
PhillyTalks3_Complete-Recording_01-21-98_UPenn	15.19	15.25	it
PhillyTalks3_Complete-Recording_01-21-98_UPenn	15.25	15.78	also
PhillyTalks3_Complete-Recording_01-21-98_UPenn	15.78	17.18	initiates
PhillyTalks3_Complete-Recording_01-21-98_UPenn	17.18	17.49	this
PhillyTalks3_Complete-Recording_01-21-98_UPenn	17.49	17.88	act
PhillyTalks3_Complete-Recording_01-21-98_UPenn	17.88	18.14	of
PhillyTalks3_Complete-Recording_01-21-98_UPenn	18.14	19.24	pointing,
PhillyTalks3_Complete-Recording_01-21-98_UPenn	19.24	19.97	which
PhillyTalks3_Complete-Recording_01-21-98_UPenn	19.97	20.17	I
PhillyTalks3_Complete-Recording_01-21-98_UPenn	20.17	20.56	see
PhillyTalks3_Complete-Recording_01-21-98_UPenn	20.56	20.69	a
PhillyTalks3_Complete-Recording_01-21-98_UPenn	20.69	21.13	lot
PhillyTalks3_Complete-Recording_01-21-98_UPenn	21.13	21.49	of
PhillyTalks3_Complete-Recording_01-21-98_UPenn	21.49	21.71	in
PhillyTalks3_Complete-Recording_01-21-98_UPenn	21.71	22.29	work
PhillyTalks3_Complete-Recording_01-21-98_UPenn	22.29	22.58	of
PhillyTalks3_Complete-Recording_01-21-98_UPenn	22.58	22.87	my
PhillyTalks3_Complete-Recording_01-21-98_UPenn	22.87	24.98	contemporaries
PhillyTalks3_Complete-Recording_01-21-98_UPenn	24.98	25.26	who
PhillyTalks3_Complete-Recording_01-21-98_UPenn	25.26	25.54	are
PhillyTalks3_Complete-Recording_01-21-98_UPenn	25.54	26.17	spread
