file	beg	end	text
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.0	0.33	Shaking
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.33	0.51	it,
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.51	0.55	I
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.55	0.74	look
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.74	0.84	at
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.84	1.02	your
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	1.02	1.48	watch,
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	1.48	1.67	which
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	1.67	1.83	has
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	1.83	2.1	white
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	2.1	2.37	Roman
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	2.37	2.86	numerals
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	2.86	2.95	on
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	2.95	3.01	a
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	3.01	3.45	black
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	3.45	3.74	face,
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	3.74	4.0	eye
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	4.0	4.33	past
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	4.33	4.86	eye.
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	4.86	5.26	The
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	5.26	5.5	magazine
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	5.5	5.96	trembles
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	5.96	6.07	at
