file	beg	end	text
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	0.37	0.72	brand
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	0.72	1.15	new
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	1.15	2.02	window
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	2.02	3.08	shade.
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	3.08	3.56	This
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	3.56	3.74	is
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	3.74	4.22	the
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	4.22	4.48	second
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	4.48	4.6	of
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	4.6	5.5	that
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	5.5	6.9	group.
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	6.9	7.32	A
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	7.32	7.6	young
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	7.6	7.88	man
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	7.88	8.5	wearing
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	8.5	8.76	a
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	8.76	9.2	loose
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	9.2	9.69	jacket
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	9.69	9.88	of
Reznikoff_Charles_Complete-Recording_St-Marks-Poetry-Project_NYC_1972	9.88	10.38	light
