file	beg	end	text
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	0.4	0.6	forward
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	0.6	0.86	and
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	0.86	1.03	to
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	1.03	1.29	the
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	1.29	1.72	right
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	1.72	4.68	zeroing
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	4.68	4.97	in
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	4.97	5.25	on
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	5.25	5.32	a
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	5.32	5.89	rhythm
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	5.89	6.31	of
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	6.31	6.61	speech
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	6.61	7.0	that
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	7.0	7.45	moves
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	7.45	7.79	from
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	7.79	8.34	heart
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	8.34	8.42	to
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	8.42	8.84	heart
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	8.84	9.61	zeroing
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	9.61	9.71	in
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	9.71	9.9	on
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	9.9	10.19	and
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	10.19	10.38	in
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	10.38	11.08	the
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	11.08	11.25	moment
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	11.25	12.0	unable
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	12.0	12.02	to
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	12.02	12.41	hold
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	12.41	12.6	on
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	12.6	12.79	to
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	12.79	12.98	it
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	12.98	13.68	the
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	13.68	14.25	suspension
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	14.25	14.34	a
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	14.34	14.72	kind
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	14.72	14.92	of
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	14.92	15.52	start
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	15.52	16.12	way
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	16.12	16.59	classic
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	16.59	16.8	in
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	16.8	17.12	its
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	17.12	17.75	sundry
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	17.75	18.39	appeal
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	18.39	19.25	that
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	19.25	19.77	accordion
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	19.77	20.09	way
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	20.09	20.3	of
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	20.3	20.66	life
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	20.66	21.43	people
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	21.43	21.82	sitting
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	21.82	22.58	everywhere
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	22.58	23.34	to
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	23.34	23.76	walk
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	23.76	23.98	in
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	23.98	24.34	and
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	24.34	24.7	see
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	24.7	25.06	all
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	25.06	25.66	those
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	25.66	26.4	people
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	26.4	26.76	not
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	26.76	27.26	even
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	27.26	27.46	i
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	27.46	28.34	stumbles
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	28.34	29.26	and
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	29.26	29.31	falls
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	29.31	30.16	becomes
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	30.16	30.4	an
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	30.4	31.13	empty
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	31.13	32.23	underscore
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	32.23	33.66	italicizing
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	33.66	34.39	nothing
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	34.39	35.24	hundreds
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	35.24	35.61	of
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	35.61	36.4	thousands
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	36.4	36.61	of
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	36.61	37.14	email
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	37.14	38.13	messages
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	38.13	38.4	gone
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	38.4	39.4	forever
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	39.4	39.86	deeply
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	39.86	40.4	buried
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	40.4	40.61	in
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	40.61	41.42	unwound
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	41.42	41.84	time
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	41.84	42.94	flickering
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	42.94	43.37	i'll
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	43.37	43.77	get
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	43.77	44.26	right
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	44.26	44.48	on
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	44.48	44.69	it
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	44.69	45.17	get
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	45.17	45.25	it
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	45.25	46.08	right
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	46.08	46.13	and
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	46.13	46.89	that's
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	46.89	47.19	not
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	47.19	47.56	what
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	47.56	47.67	i
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	47.67	48.28	heard
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	48.28	49.19	reading
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	49.19	49.45	by
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	49.45	49.97	hand
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	49.97	50.93	writing
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	50.93	51.27	and
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	51.27	52.04	pencil
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	52.04	52.69	lasts
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	52.69	53.63	longer
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	53.63	54.0	pick
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	54.0	55.25	something
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	55.25	55.43	up
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	55.43	55.8	and
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	55.8	56.47	try
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	56.47	56.54	to
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	56.54	57.25	figure
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	57.25	57.69	out
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	57.69	58.03	how
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	58.03	58.38	it
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	58.38	58.77	works
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	58.77	59.02	say
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	59.02	59.15	a
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	59.15	59.67	digital
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	59.67	60.15	camera
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	60.15	60.72	consult
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	60.72	60.99	the
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	60.99	61.44	manual
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	61.44	62.01	writing
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	62.01	62.17	is
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	62.17	62.42	the
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	62.42	62.73	same
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	62.73	62.97	way
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	62.97	63.54	reading
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	63.54	63.7	by
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	63.7	64.11	hand
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	64.11	65.2	but
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	65.2	65.38	i'm
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	65.38	65.56	so
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	65.56	65.9	lazy
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	65.9	66.56	don't
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	66.56	66.76	want
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	66.76	66.94	to
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	66.94	67.4	worry
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	67.4	67.8	i
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	67.8	67.86	stay
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	67.86	68.32	alone
