file	beg	end	text
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	0.0	0.41	She
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	0.41	0.7	did
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	0.7	0.93	a
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	0.93	1.51	series
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	1.51	1.73	of
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	1.73	2.34	poems
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	2.34	2.52	that
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	2.52	2.66	are
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	2.66	2.8	all
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	2.8	2.89	in
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	2.89	3.14	boxes
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	3.14	4.0	that
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	4.0	4.16	are
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	4.16	4.48	called
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	4.48	4.9	Placards.
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	4.9	5.44	The
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	5.44	7.84	cluck-knuck's
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	7.84	9.18	prattle.
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	9.18	9.38	Is
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	9.38	9.62	it
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	9.62	9.75	a
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	9.75	10.76	turban?
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	10.76	10.83	I
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	10.83	11.28	entire
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	11.28	11.78	toward
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	11.78	11.95	and
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	11.95	12.1	am
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	12.1	12.9	placard.
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	12.9	12.96	I
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	12.96	13.08	am
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	13.08	13.27	not
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	13.27	13.92	placard.
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	13.92	14.16	Show
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	14.16	14.28	me
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	14.28	14.64	coming
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	14.64	14.87	back
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	14.87	15.06	to
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	15.06	15.32	me.
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	15.32	15.6	Show
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	15.6	15.75	me
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	15.75	15.97	no
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	15.97	16.4	placard
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	16.4	16.83	coming
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	16.83	17.13	back
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	17.13	17.27	to
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	17.27	17.7	me.
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	17.7	18.26	Placard
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	18.26	18.57	me,
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	18.57	18.86	but
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	18.86	19.14	with
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	19.14	19.46	only
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	19.46	19.96	you.
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	19.96	20.05	So
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	20.05	20.11	I
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	20.11	20.42	mean,
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	20.42	20.83	couldn't
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	20.83	20.93	me
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	20.93	21.29	placard
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	21.29	21.39	be
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	21.39	21.44	a
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	21.44	21.65	good
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	21.65	22.04	one?
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	22.04	22.24	Be
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	22.24	22.68	a
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	22.68	23.34	placard.
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	23.34	23.5	Be
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	23.5	23.88	a
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	23.88	24.44	placard.
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	24.44	24.68	That
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	24.68	25.04	secret
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	25.04	25.66	placard.
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	25.66	26.04	Beside
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	26.04	26.1	a
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	26.1	26.35	nice
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	26.35	26.79	tree.
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	26.79	26.91	Be
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	26.91	27.15	like
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	27.15	27.45	that
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	27.45	27.72	organ
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	27.72	28.28	thing.
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	28.82	29.32	Nodules
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	29.32	29.53	are
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	29.53	30.05	cats.
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	30.05	30.46	Keepy
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	30.46	30.69	me,
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	30.69	31.18	keepy,
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	31.18	31.76	keepy.
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	31.76	32.15	Meow
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	32.15	33.18	placard.
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	33.18	33.59	Meow
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	33.59	33.79	or
Smith-Rod_01_Complete-Recording_University-at-Buffalo_2-25-98	33.79	34.21	cuss
