file	beg	end	text
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	0.0	0.28	So
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	0.28	0.49	I'm
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	0.49	0.86	going
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	0.86	1.37	to
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	1.37	1.59	have
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	1.59	2.09	these
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	2.09	2.87	luscious
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	2.87	4.0	cibachromes
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	4.0	4.56	of
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	4.56	5.08	almost
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	5.08	6.17	abstract
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	6.17	7.0	images
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	7.0	7.2	because
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	7.2	7.42	there
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	7.42	7.59	will
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	7.59	7.99	be
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	7.99	9.52	really
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	9.52	10.0	dramatic
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	10.0	10.72	blow-ups
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	10.72	11.09	of
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	11.09	11.3	only
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	11.3	12.0	fractions
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	12.0	12.18	of
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	12.18	13.2	photographs
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	13.2	13.7	in
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	13.7	17.0	magazines.
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	17.0	17.58	But
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	17.58	18.56	you'll
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	18.56	18.91	be
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	18.91	19.78	able
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	19.78	19.96	to
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	19.96	20.52	see
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	20.52	21.0	the
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	21.0	21.88	glass
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	21.88	22.42	rim
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	22.42	22.75	of
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	22.75	23.27	the
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	23.27	24.32	corner
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	24.32	24.67	of
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	24.67	25.19	the
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	25.19	26.07	glass
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	26.07	26.47	of
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	26.47	26.94	the
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	26.94	27.64	vice
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	27.64	29.57	president,
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	29.57	30.09	for
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	30.09	32.0	instance,
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	32.0	32.53	Alfonso
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	32.53	33.22	Guerra,
