file	beg	end	text
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	0.18	0.37	Wanted
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	0.37	0.49	to
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	0.49	0.74	grab
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	0.74	0.86	my
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	0.86	1.1	face
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	1.1	1.36	with
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	1.36	1.56	the
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	1.56	2.0	pliers
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	2.0	2.48	of
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	2.48	2.82	dirty
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	2.82	2.99	of
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	2.99	3.3	dirt
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	3.3	3.83	trickling
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	3.83	4.1	from
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	4.1	4.44	their
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	4.44	5.12	lips.
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	5.12	5.2	I
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	5.2	5.57	want
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	5.57	5.75	to
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	5.75	6.01	be
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	6.01	6.56	another
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	6.56	7.19	stumble
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	7.19	7.37	of
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	7.37	7.84	flesh
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	7.84	8.64	Glimpsed
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	8.64	8.87	from
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	8.87	8.99	a
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	8.99	9.41	crack
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.41	9.55	in
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.55	9.81	the
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.81	10.5	arcade's
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	10.5	11.01	nougat
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	11.01	11.81	facade.
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	11.81	12.07	Can
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	12.07	12.31	you
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	12.31	12.46	see
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	12.46	12.72	me
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	12.72	13.1	without
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	13.1	13.86	remembering
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	13.86	14.07	my
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	14.07	14.45	trimmed
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	14.45	14.8	voice?
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	14.8	15.4	Boiling
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	15.4	15.57	in
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	15.57	15.83	the
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	15.83	16.6	cauldrons
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	16.6	16.85	of
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	16.85	17.24	rural
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	17.24	17.82	drive-ins
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	17.82	18.4	old
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	18.4	19.0	cars
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	19.0	19.63	quivering
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	19.63	19.77	to
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	19.77	19.84	a
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	19.84	20.19	fresh
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	20.19	20.47	line
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	20.47	20.62	of
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	20.62	21.5	mattresses
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	21.5	22.08	Ticking
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	22.08	22.25	in
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	22.25	22.5	the
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	22.5	23.25	calcified
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	23.25	23.76	vortex
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	23.76	23.93	of
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	23.93	24.67	gingham's
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	24.67	25.1	faded
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	25.1	25.5	dark
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	25.98	26.6	Scuffed
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	26.6	27.67	knee-scuffed
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	27.67	28.2	kneecap
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	28.2	28.54	hand
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	28.54	28.97	clamp
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	28.97	29.74	refusals.
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	29.74	30.56	Derelict
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	30.56	31.55	promises,
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	31.55	32.38	unbuttoned
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	32.38	33.08	scratches
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	33.08	33.28	and
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	33.28	33.82	sprawled
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	33.82	34.44	whimpers.
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	34.44	35.21	Parrish
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	35.21	36.22	fandangos
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	36.22	37.26	perishing
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	37.26	37.54	before
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	37.54	38.46	mainspring
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	38.46	39.5	curdoze.
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	39.5	39.6	A
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	39.6	40.3	dented
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	40.3	41.09	hubcap,
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	41.09	41.19	a
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	41.19	42.01	hoisted
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	42.01	42.73	scalp,
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	42.73	42.78	a
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	42.78	43.64	tuxedo
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	43.64	43.96	towel
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	43.96	44.52	wheeled
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	44.52	45.08	through
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	45.08	45.15	a
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	45.15	45.56	sieve
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	45.56	45.72	of
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	45.72	46.16	hoops.
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	46.16	46.61	This
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	46.61	47.46	laminated
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	47.46	48.1	stem,
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	48.1	48.46	that
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	48.46	49.26	molasses
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	49.26	50.28	skeleton,
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	50.28	51.07	pummeled
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	51.07	51.52	slot
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	51.52	51.92	poured
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	51.92	52.18	into
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	52.18	52.24	a
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	52.24	52.86	briefcase
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	52.86	53.3	jug.
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	53.8	54.41	Lacquered
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	54.41	54.85	lackey
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	54.85	55.12	with
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	55.12	55.21	a
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	55.21	55.65	slight
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	55.65	55.87	tin
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	55.87	56.41	verb.
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	56.41	56.71	You
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	56.71	56.92	know
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	56.92	57.2	them
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	57.2	57.41	all
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	57.41	57.54	by
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	57.54	58.08	their
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	58.08	58.39	fame,
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	58.39	58.83	their
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	58.83	59.14	loss
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	59.14	59.37	of
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	59.37	59.84	glass
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	59.84	60.22	proximity.
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	60.26	60.63	These
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	60.63	60.86	are
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	60.86	61.13	the
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	61.13	61.77	citizens
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	61.77	62.18	whose
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	62.18	62.84	matching
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	62.84	63.25	hands
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	63.25	63.49	are
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	63.49	64.23	preserved
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	64.23	64.39	in
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	64.39	64.63	the
