file	aws	azure	google	ibm	nemo	rev	whisper	whispercpp	nsp	snr	unintelligible	overlap
AndrewsEx1	5.4	5.0	4.8	3.8	3.3	3.0	4.0	4.9	1	33.63	122	0
AntinEx1	1.3	0.6	1.2	0.7	1.8	2.7	3.7	3.5	8	6.94	37	13.636
Ashbery1Ex1	0.6	0.5	0.6	0.6	0.5	0.5	0.8	0.4	1	20.8	3	0
Ashbery2Ex1	0.7	0.9	0.8	0.8	0.9	0.9	0.8	1.4	1	20.02	8	0
Ashbery3Ex1	0.6	0.2	0.2	0.0	0.5	0.1	0.3	0.1	2	7.43	11	0
Ashbery4Ex1	2.6	2.1	3.0	2.2	0.9	2.7	1.2	1.3	2	21.63	42	13.651
Ashbery5Ex1	1.1	0.8	0.8	0.7	0.3	0.4	0.4	0.7	1	14.83	8	0
Ashbery6Ex1	0.7	0.5	0.5	0.4	0.2	0.4	0.7	0.3	1	19.02	1	0
Ashbery7Ex1	0.9	0.5	0.8	0.9	0.7	0.5	0.5	0.5	1	-0.31	17	0
Ashbery8Ex1	0.7	0.5	0.7	0.8	0.5	0.4	0.4	0.8	1	12.39	5	0
AusterEx1	0.1	0.2	0.6	0.0	0.4	0.3	0.2	0.1	1	18.53	2	0
BeaulieuEx1	0.8	0.4	0.8	0.3	5.5	0.8	1.0	1.2	1	20.06	11	0
BellamyEx1	1.0	1.1	1.3	1.0	0.9	0.8	0.2	1.1	1	22.67	5	0
Benson1Ex1	0.8	0.6	0.3	1.6	0.3	0.6	0.3	0.9	3	19.87	31	5.045
Benson2Ex1	0.5	0.7	1.2	0.6	1.6	1.3	1.7	20.0	9	5.2	55	39.898
Berkson1Ex1	1.1	0.5	0.9	0.5	1.0	0.2	0.4	1.4	2	14.29	23	1.886
Berkson2Ex1	0.9	0.9	0.7	0.6	0.4	0.5	0.4	0.2	1	18.18	9	0
BerriganEx1	1.7	0.8	2.4	1.3	1.9	2.5	2.3	1.3	5	17.46	30	0.168
Berssenbrugge1Ex1	0.5	1.0	0.7	0.7	0.1	0.8	0.3	0.2	1	10.36	3	0
Berssenbrugge2Ex1	0.5	0.3	0.6	1.1	0.9	0.4	0.5	0.7	1	16.03	2	0
BervinEx1	1.4	1.4	1.2	1.3	0.9	0.9	1.5	1.4	3	-3.93	33	0
BlochEx1	0.7	0.6	0.7	0.8	0.6	0.6	0.5	1.5	1	14.7	10	0
BonvicinoEx1	0.7	1.6	1.2	1.9	0.7	0.8	1.1	0.8	3	14.58	19	24.895
Bromige1Ex1	0.7	0.7	0.9	0.9	0.5	0.6	0.8	0.9	1	19.3	5	0
Bromige2Ex1	0.4	0.4	0.0	0.5	0.3	0.0	0.3	0.0	1	25.3	6	0
Bromige3Ex1	0.9	1.2	1.2	1.3	0.9	1.0	1.3	1.2	1	18.58	1	0
Bromige4Ex1	0.7	0.9	1.0	0.5	1.1	0.7	0.9	1.0	1	1.23	10	0
BrownEx1	1.1	1.5	1.3	1.4	2.0	1.7	1.6	1.7	1	16.59	11	0
BrowneEx1	0.9	1.1	0.9	1.2	0.9	0.8	1.0	1.8	1	7.83	24	0
ClayEx1	1.2	1.0	1.0	1.4	1.3	3.1	1.1	0.6	3	14.08	39	30.929
ConradEx1	1.8	1.7	1.9	2.1	1.7	1.6	2.1	1.8	1	17.98	10	0
CoolidgeEx1	0.4	0.6	0.9	0.6	0.4	0.4	0.3	1.1	1	18.33	6	0
CorriganEx1	1.1	0.9	1.1	0.3	0.8	0.8	0.8	0.8	2	2.72	18	1.444
DarraghEx1	1.5	1.6	1.4	1.4	1.1	1.7	1.6	1.0	2	15.51	14	1.464
DaviesEx1	0.5	0.3	0.4	0.2	0.2	0.2	1.2	0.3	1	15.27	4	0
DiPalmaEx1	1.0	1.6	0.5	1.2	1.1	0.3	1.7	0.2	2	6.78	19	0
DonovanEx1	1.1	2.1	0.8	1.0	1.0	0.3	0.9	0.6	2	18.1	6	0
DornEx1	0.5	0.1	0.7	0.8	0.4	0.2	0.2	0.1	1	19.38	2	0
Drucker1Ex1	0.6	0.2	0.6	0.6	0.6	0.4	0.4	0.4	1	6.85	8	0
Drucker2Ex1	0.3	0.6	0.6	0.4	0.4	0.4	0.3	0.3	1	9.04	3	0
Duncan1Ex1	1.1	1.4	1.0	1.4	0.7	1.7	1.1	2.4	1	2.74	30	0
Duncan2Ex1	0.8	1.1	0.7	0.6	0.3	0.8	0.9	0.9	4	15.76	28	3.27
Duncan3Ex1	4.8	3.9	7.7	3.3	3.1	4.5	4.3	4.5	3	7.51	168	29.545
DuPlessis1Ex1	0.8	0.0	0.3	0.6	0.3	0.0	0.1	0.7	1	12.8	2	0
DuPlessis2Ex1	0.5	0.4	0.5	0.6	0.7	0.1	0.1	0.2	1	9.69	2	0
DuPlessis3Ex1	1.0	1.2	2.1	1.4	1.2	0.8	1.1	0.4	1	15.17	9	0
DworkinEx1	0.8	2.0	1.0	1.5	5.7	0.3	1.0	0.5	1	24.61	16	0
FiedlerEx1	1.3	1.2	0.5	1.0	0.9	0.6	0.6	0.4	1	4.1	5	0
FosterEx1	1.3	0.8	0.8	0.8	0.4	0.8	2.4	0.4	1	14.73	9	0
FuchsEx1	0.9	1.3	0.8	0.4	0.2	0.5	0.5	0.5	1	23.63	7	0
GarrisonEx1	0.9	1.0	0.7	0.3	0.5	0.3	0.6	0.4	2	24.49	13	0
GinsbergEx1	2.0	1.5	2.3	1.8	2.0	1.1	2.0	8.5	3	5.24	167	38.176
GladmanEx1	0.1	0.1	0.3	0.2	0.2	0.0	0.2	8.9	1	22.4	2	0
GreenwaldEx1	0.3	0.4	0.3	0.4	0.3	0.5	0.3	0.3	1	17.68	7	0
HalpernEx1	1.4	0.3	1.3	1.0	0.3	1.1	0.6	0.7	1	20.16	2	0
HalseyEx1	1.6	1.5	1.1	1.5	0.7	1.0	1.2	1.1	1	15.83	26	0
HawkinsEx1	0.4	0.3	0.3	0.6	0.1	0.4	1.2	13.8	1	9.57	4	0
Howe1Ex1	1.5	1.0	0.8	1.5	0.6	0.3	0.8	0.4	1	15.13	8	0
Howe2Ex1	1.2	0.4	0.9	0.9	0.2	0.2	0.5	0.2	1	20.98	14	0
Howe3Ex1	2.1	2.1	2.2	1.8	2.2	2.9	3.7	2.1	5	3.79	118	38.62
JarnotEx1	0.5	0.7	0.5	1.1	0.7	0.3	1.1	1.1	1	22.95	13	0
JorisEx1	6.5	4.9	4.8	0.0	4.2	3.8	5.2	4.9	1	7.42	120	0
KimmelmanEx1	0.6	0.5	0.3	0.9	0.0	0.5	0.0	0.4	2	21.56	7	0.188
KinsellaEx1	2.9	2.2	2.6	3.3	1.7	2.1	1.4	1.3	1	9.61	18	0
KygerEx1	5.6	4.3	6.3	3.8	8.4	7.1	9.5	10.6	5	-8.21	173	54.614
Lauterbach1Ex1	1.0	0.5	0.7	0.4	0.4	0.9	1.0	0.6	1	15.01	9	0
Lauterbach2Ex1	1.2	1.3	1.3	1.4	0.1	0.7	0.2	1.0	1	6.7	10	0
LevyEx1	0.8	0.2	0.3	0.4	0.5	0.5	0.2	6.9	1	6.09	22	0
MirakoveEx1	0.3	0.7	1.1	0.6	0.9	0.6	0.4	0.3	1	15.91	13	0
MooreEx1	0.1	0.3	0.4	0.4	0.3	0.1	0.3	0.1	1	14.41	7	0
MoxleyEx1	0.9	1.4	0.8	1.9	0.9	0.7	0.9	0.6	1	-0.39	33	0
OppenEx1	1.9	1.6	1.5	1.6	1.1	1.4	2.1	1.7	1	-0.12	73	0
PhillyTalks1Ex1	1.3	0.5	0.6	1.3	1.4	2.3	1.4	0.7	4	5.58	24	35.525
PhillyTalks10Ex1	2.5	3.1	17.3	0.9	10.8	0.4	1.5	6.8	2	19.39	9	0
PhillyTalks3Ex1	1.8	1.8	1.9	1.7	0.8	1.8	1.1	0.8	2	10.56	32	1.174
PhillyTalks5Ex1	0.3	0.5	0.4	0.9	0.6	0.8	0.6	0.8	3	20.13	19	4.079
PiombinoEx1	0.6	0.3	0.4	0.4	2.1	0.8	1.6	0.4	1	10.42	6	0
PoemTalkEx1	1.6	1.6	1.8	1.4	2.1	2.7	1.8	1.2	4	20.0	38	18.753
RaworthEx1	4.8	3.3	4.2	2.8	2.7	2.9	3.3	3.8	1	16.69	64	0
RetalackEx1	1.5	1.8	1.8	2.4	0.9	1.3	1.3	1.2	7	8.93	61	21.361
ReznikoffEx1	0.7	0.6	0.4	0.7	0.6	0.6	0.5	0.5	1	11.04	19	0
RichardsEx1	0.5	0.6	0.0	0.5	0.9	0.6	1.1	3.7	1	28.17	10	0
Robinson1Ex1	0.6	0.6	0.4	0.3	0.4	0.1	0.7	0.2	1	20.75	9	0
Robinson2Ex1	1.0	0.9	1.0	0.7	0.8	0.5	0.6	0.8	1	23.22	6	0
Robinson3Ex1	1.2	0.9	0.7	0.8	1.2	0.4	0.5	0.7	1	24.18	8	0
RothenbergEx1	1.1	0.5	1.2	1.2	1.1	0.9	1.1	7.5	4	22.4	16	1.573
Scalapino1Ex1	0.8	0.7	0.5	0.9	0.4	0.7	0.5	0.7	1	7.21	16	0
Scalapino2Ex1	1.4	0.9	1.4	1.2	1.3	0.9	1.8	3.2	4	11.19	53	11.172
SherlockEx1	1.1	1.4	0.3	1.2	1.0	0.6	0.9	0.8	1	22.44	9	0
Silliman1Ex1	0.5	0.6	0.7	0.8	0.3	1.0	2.1	1.3	3	16.0	5	4.118
Silliman2Ex1	0.8	0.8	0.8	0.8	1.1	1.3	1.4	0.9	1	10.34	19	0
Silliman3Ex1	0.7	0.7	0.5	1.0	0.5	0.2	0.7	0.8	1	14.18	14	0
SmithEx1	2.0	1.2	1.6	1.2	1.2	1.2	0.6	0.6	1	14.96	22	0
SpahrEx1	1.5	1.4	1.1	1.2	0.8	0.8	0.9	0.8	1	15.53	2	0
SzeEx1	1.3	0.8	1.0	0.8	0.7	0.7	0.8	0.4	1	16.57	15	0
TempletonEx1	1.5	1.6	1.0	0.8	2.4	3.5	3.3	3.9	2	10.97	73	23.954
TorresEx1	6.4	5.0	5.3	5.6	3.9	6.7	3.7	12.2	2	15.3	107	11.207
TowleEx1	0.6	0.5	0.7	1.2	0.1	0.2	0.4	0.1	1	6.3	12	0
WisherEx1	0.6	1.2	0.8	1.2	0.8	0.3	0.4	0.3	1	22.98	6	0
YauEx1	0.7	0.6	1.1	0.6	0.2	0.3	0.0	0.2	1	18.16	7	0
